Pop,Sex,SVL,TD,OD,HW,HD,HL,HdL,FbL,FtL,HbL,LbS,DS,PoPV,SL,IL,SlF3,SlT4,NS,CS
Luzon,f,95.95,3.5,6.4,14.12,11.65,24.45,21.12,60.01,32.33,82.39,54,34,3,9,9,29,34,10,7
Luzon,m,107.76,3.96,8.41,17.38,16.28,32.89,19.49,57.27,35.1,94.35,51,30,3,10,10,27,34,12,7
Luzon,m,89.24,3.02,8.23,15.48,12.93,31.04,15.94,56.36,34.28,90.9,52,33,4,9,8,26,33,11,6
Luzon,m,83.18,3.01,7.87,13.79,11.21,27.27,18.27,48.65,36.4,82.82,54,31,4,9,8,26,34,10,7
Luzon,m,106.77,3.49,9.51,16.65,14.93,31.23,19.29,58.57,37.59,89.8,46,34,2,10,11,25,35,11,7
Luzon,m,102.91,3.28,9.97,15.68,14.81,30.49,21.89,62.67,40.75,96.15,51,34,3,9,9,27,32,11,6
Luzon,m,106.5,4.28,9.9,14.81,14.95,29.92,21.42,56.18,40.45,97.08,53,34,2,9,9,24,37,11,7
Luzon,m,115.48,3.98,9.33,16.83,14.5,32.97,20.69,60.4,37.33,94.59,56,34,3,10,9,25,38,11,7
Luzon,m,106.46,3.97,10.16,19.44,13.81,32.54,22.55,57.28,33.84,89.89,46,33,2,11,10,25,38,10,8
Luzon,m,105.08,3.97,10.12,15,12.52,30.65,19.54,63.05,37.26,90.29,56,34,3,9,9,24,38,9,7
